,Refugio,Estado,Municipio,Dirección,Uso del Inmueble,Capacidad personas,Capacidad Familias,Latitud,Longitud,Altitud,gla,mla,sla,glo,mlo,glo,latitude,longitude
81,ESC. PRIMARIA IGNACIO ALLENDE (MAT) / DOROTEO ARANGO (VESP).,SINALOA,MOCORITO,"CALLE PRINCIPAL, CARRETERA RECOVECO- CAIMANERO, POBLADO DE RECOVECO.",EDUCATIVO,300,75,"24°59'39.98""","107°43'37.95""",29,24,59,39.98,107,43,37.95,24.99443889,-107.7272083
82,ESCUELA PRIMARIA JUSTO SIERRA.,SINALOA,MOCORITO,"CALLE AVIACIÓN S/N, A UN COSTADO DE DICONSA, POBLADO DE PERICOS.",EDUCATIVO,320,80,"25° 5'9.71""","107°42'15.34""",61,25, 5,9.71,107,42,15.34,25.08603056,-107.7042611
83,ESCUELA TELESECUNDARIA 119 D.,SINALOA,MOCORITO,"CALLE MOCORITO Y AV. SONORA, POSTE # 45, A UN COSTADO DEL CAMPO DEPORTIVO, COMUNIDAD DE RANCHO VIEJO.",EDUCATIVO,120,30,"25° 7'30.32""","107°45'11.18""",66,25, 7,30.32,107,45,11.18,25.12508889,-107.7531056
84,CONALEP 119.,SINALOA,MOCORITO,"C. COR. GREGORIO CUEVAS Y CAMINO A LA BRECHA, CD. DE MOCORITO.",EDUCATIVO,150,37,"25°28'40.52""","107°55'3.16""",90,25,28,40.52,107,55,3.16,25.47792222,-107.9175444
85,DOMICILIO PARTICULAR.,SINALOA,MOCORITO,"SR. JORGE ROBLES, DOM. PARTICULAR, DOM. CONOCIDO, ESTACIÓN RETES.",EDUCATIVO,30,7,"25° 1'56.59""","107°46'8.19""",40,25, 1,56.59,107,46,8.19,25.03238611,-107.7689417
86,ESC. PRIMARIA CORREGIDORA DE QUERETARO.,SINALOA,MOCORITO,"DOM. CONOCIDO EN EL CENTRO DEL POBLADO, POTRERO DE LOS SÁNCHEZ, SIND. DE MELCHOR OCAMPO.",EDUCATIVO,200,50,"25° 6'33.35""","107°54'6.46""",44,25, 6,33.35,107,54,6.46,25.10926389,-107.9017944
87,Centro de Seguridad Social (Asegurada del IMSS).,SINALOA,NAVOLATO,"Calle Almada Frente al DIF Municipal, Cd. de Navolato.",Social,300,75,"24°45'27.38""","107°41'34.43""",17,24,45,27.38,107,41,34.43,24.75760556,-107.6928972
88,Escuela Preparatoria de la UAS.,SINALOA,NAVOLATO,"Corredor Educativo, a un costado del COBAES, Carretera Navolato-El Castillo, Cd. de Navolato.",Educativo,700,175,"24°44'59.99""","107°41'27.71""",11,24,44,59.99,107,41,27.71,24.74999722,-107.6910306
89,"Facultad de Contabilidad y Administración Extensión Navolato, de la UAS.",SINALOA,NAVOLATO,,Educativo,200,50,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
90,"Facultad de Informatica Navolato, de la UAS.",SINALOA,NAVOLATO,,Educativo,150,37,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
91,Centro de Idiomas de la UAS.,SINALOA,NAVOLATO,"Calle Almada y Rosales, Col. Centro, Cd. de Navolato.",Educativo,500,125,"24°45'59.36""","107°41'48.47""",17,24,45,59.36,107,41,48.47,24.76648889,-107.6967972
92,CLUB DE LEONES.,SINALOA,ROSARIO,"C. LUIS DONALDO COLOSIO S/N, CD. DE EL ROSARIO.",EVENTOS SOCIALES,600,150,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
93,CLUB ROTARIO.,SINALOA,ROSARIO,"C. MELCHOR OCAMPO Y BENITO JUÁREZ, CD. DE EL ROSARIO.",EVENTOS SOCIALES,325,80,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
